id,分類,画面名,概要,構成要素,操作手順,利用者,権限,ファイル名,入力,出力,共通コンポーネントファイル
SCR-011,Todo管理,カンバン名編集画面,カンバンの名称を編集する画面,カンバン名入力フォーム、保存ボタン、キャンセルボタン,カンバン名を入力し、保存ボタンをクリックしてカンバン名を更新し、カンバン表示画面へ遷移する。キャンセルボタンをクリックしてカンバン表示画面へ遷移する。,ログインユーザー,ログインユーザー,kanban/config.tsx,"[{table:'kanban_config',items:['id', 'user_id', 'config']}]","[{table:'kanban_config',items:['id', 'config']}]",なし
SCR-012,Todo管理,アーカイブ一覧画面,アーカイブされたTodoの一覧を表示する画面,アーカイブされたTodoカード一覧、カンバン表示画面へ戻るボタン,アーカイブされたTodoカードを確認する。カンバン表示画面へ戻るボタンをクリックしてカンバン表示画面へ遷移する。,ログインユーザー,ログインユーザー,archive.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']}]",なし,なし
SCR-013,Todo管理,検索結果画面,Todoを検索し、結果を表示する画面,検索フォーム、検索結果一覧、カンバン表示画面へ戻るボタン,検索キーワードを入力し、検索を実行する。検索結果を確認する。カンバン表示画面へ戻るボタンをクリックしてカンバン表示画面へ遷移する。,ログインユーザー,ログインユーザー,search.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']}]",なし,なし
SCR-014,Todo管理,カンバン画面,Todoを管理するカンバン形式の画面,Todo列、In Progress列、Done列、タスクカード、タスク追加ボタン,タスクを追加、編集、ドラッグ＆ドロップでステータス変更する。,ログインユーザー,ログインユーザー,kanban.tsx,"[{""table"":""todos"", ""items"":[""id"", ""user_id"", ""title"", ""status"", ""checkboxes""]}]","[{""table"":""todos"", ""items"":[""user_id"", ""title"", ""status"", ""checkboxes""]}]",なし
SCR-015,ユーザー設定,設定画面,ユーザー設定のメニュー画面,プロフィール編集画面へのリンク、パスワード変更画面へのリンク、アバター画像設定画面へのリンク、テーマ設定画面へのリンク,各設定画面へのリンクをクリックする。,ログインユーザー,ログインユーザー,settings.tsx,なし,なし,なし
SCR-016,ユーザー設定,プロフィール編集画面,ユーザー名などのプロフィール情報を編集する画面,ユーザー名入力フォーム、保存ボタン、設定画面への戻るボタン,ユーザー名を入力し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,settings/profile.tsx,"[{""table"":""users"", ""items"":[""username""]}]","[{""table"":""users"", ""items"":[""username""]}]",なし
SCR-017,ユーザー設定,パスワード変更画面,パスワードを変更する画面,現在のパスワード入力フォーム、新しいパスワード入力フォーム、確認用パスワード入力フォーム、保存ボタン、設定画面への戻るボタン,現在のパスワード、新しいパスワード、確認用パスワードを入力し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,settings/password.tsx,なし,"[{""table"":""users"", ""items"":[""password""]}]",なし
SCR-018,ユーザー設定,アバター画像設定画面,アバター画像を設定する画面,画像アップロードフォーム、保存ボタン、設定画面への戻るボタン,画像をアップロードし、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,settings/avatar.tsx,"[{""table"":""users"", ""items"":[""avatar_url""]}]","[{""table"":""users"", ""items"":[""avatar_url""]}]",なし
SCR-019,ユーザー設定,テーマ設定画面,テーマを設定する画面,テーマ選択リスト、保存ボタン、設定画面への戻るボタン,テーマを選択し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,settings/theme.tsx,なし,"[{""table"":""kanban_config"", ""items"":[""config""]}]",なし
SCR-020,認証,新規登録画面,メールアドレスとパスワードを入力して新規登録する画面,メールアドレス入力フォーム、パスワード入力フォーム、ユーザー名入力フォーム、登録ボタン,メールアドレス、パスワード、ユーザー名を入力し、登録ボタンをクリックする。,ゲスト,ゲスト,register.tsx,なし,"[{""table"":""users"", ""items"":[""email"", ""password"", ""username""]}]",なし
SCR-021,Todo管理,タスク詳細画面,タスクの詳細情報を表示・編集する画面,タスクタイトル、タスク詳細、チェックボックス、保存ボタン、削除ボタン,タスク情報を編集し、保存ボタンをクリック、またはタスクを削除する。,ログインユーザー,ログインユーザー,/kanban/[taskId].tsx,"[{""table"":""todos"", ""items"":[""id"", ""user_id"", ""title"", ""status"", ""checkboxes""]}]","[{""table"":""todos"", ""items"":[""title"", ""status"", ""checkboxes""]}]",なし
SCR-022,Todo管理,タスク一覧画面,Todoタスクを一覧表示し、追加・編集・削除を行う画面。カンバン形式で表示。,"カンバン（To Do, In Progress, Done）、タスクカード、タスク追加ボタン",タスクの追加、タスクのステータス変更（ドラッグ＆ドロップ）、タスクの編集・削除,ログインユーザー,ログインユーザー,index.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']}, {table:'kanban_config',items:['config']}]","[{table:'todos',items:['user_id','title','status','checkboxes']}]",なし
SCR-023,AI支援,タスク分解画面,AIを用いてタスクを分解する画面,タスク入力フォーム、AIによるタスク分解結果表示、登録ボタン,タスクを入力し、AIによる分解結果を確認し、登録ボタンをクリックする,ログインユーザー,ログインユーザー,ai-decompose.tsx,なし,"[{table:'todos',items:['user_id','title','status','checkboxes']}]",なし
SCR-024,AI支援,GPTs選択画面,使用するGPTsを選択する画面,GPTsリスト、GPTs選択ボタン,GPTsを選択し、選択ボタンをクリックする,ログインユーザー,ログインユーザー,gpt-select.tsx,なし,なし,なし
SCR-025,AI支援,習慣化支援GPTs画面,習慣化支援GPTsを利用する画面,GPTsとのチャットUI,GPTsとチャットで対話する,ログインユーザー,ログインユーザー,habit-gpt.tsx,なし,なし,なし
SCR-026,AI支援,目標フレームワーク画面,目標フレームワークを選択・設定する画面,フレームワークリスト、フレームワーク設定フォーム,フレームワークを選択し、設定値を入力する,ログインユーザー,ログインユーザー,framework.tsx,なし,なし,なし
SCR-027,AI支援,自作GPTs設定画面,自作GPTsを設定する画面,GPTs設定フォーム,GPTsの設定情報を入力する,ログインユーザー,ログインユーザー,custom-gpt.tsx,なし,なし,なし
SCR-028,AI支援,優先度設定画面,タスクの優先度を設定する画面,優先度選択リスト,タスクの優先度を選択する,ログインユーザー,ログインユーザー,priority.tsx,なし,"[{table:'todos',items:['priority']}]",なし
SCR-029,AI支援,期日設定画面,タスクの期日を設定する画面,日付選択カレンダー,タスクの期日を選択する,ログインユーザー,ログインユーザー,deadline.tsx,なし,"[{table:'todos',items:['deadline']}]",なし
SCR-030,共通,ヘッダー,全画面共通のヘッダー,ロゴ、ナビゲーションメニュー、ユーザー情報,ナビゲーションメニューから画面遷移,全ユーザー,全ユーザー,components/Header.tsx,なし,なし,Header.tsx
SCR-031,エラー処理,ユーザー名重複エラー,ユーザー登録時にユーザー名が重複した場合のエラー画面,エラーメッセージ、登録画面への戻るボタン,エラーメッセージを確認し、登録画面へ戻るボタンをクリックする。,ユーザー,ゲスト,register.tsx,なし,なし,ヘッダー、フッター
SCR-032,Todo,Todo画面,Todoタスクを管理する画面,"カンバン（To Do, In Progress, Done）、タスク追加フォーム、タスク編集フォーム",タスクを新規登録、編集、ドラッグ＆ドロップでステータスを変更する。,ログインユーザー,ログインユーザー,todo.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']},{table:'kanban_config',items:['config']}]","[{table:'todos',items:['user_id','title','status','checkboxes']}]",ヘッダー、フッター
SCR-033,エラー処理,DB書き込みエラー,DBへの書き込みに失敗した場合のエラー画面,エラーメッセージ、Todo画面への戻るボタン,エラーメッセージを確認し、Todo画面へ戻るボタンをクリックする。,ログインユーザー,ログインユーザー,todo.tsx,なし,なし,ヘッダー、フッター
SCR-034,セキュリティ,二段階認証画面,二段階認証コードを入力する画面,認証コード入力フォーム、認証ボタン,認証コードを入力し、認証ボタンを押下する。,ユーザー,ログインユーザー,auth2FA.tsx,null,null,"[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-035,Todo管理,ダッシュボード画面,Todoの追加、完了ステータス切り替え、表示を行う画面,"Todoリスト（To Do, In Progress, Done）、Todo追加フォーム",Todoの追加、ステータスの変更、Todoの削除を行う。,ユーザー,ログインユーザー,index.tsx,"[{ ""table"": ""todos"", ""items"": [""title"", ""status"", ""checkboxes""] }]","[{ ""table"": ""todos"", ""items"": [""user_id"", ""title"", ""status"", ""checkboxes""] }]","[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-036,セキュリティ,入力検証,ログイン画面の入力内容を検証する処理,なし,ログイン画面から遷移し、入力内容を検証する。,システム,ゲスト,N/A,null,null,null
SCR-037,セキュリティ,パスワード暗号化処理,パスワードを暗号化する処理,なし,ログイン時、またはユーザー登録時にパスワードを暗号化する。,システム,ゲスト,N/A,null,null,null
SCR-038,セキュリティ,セッション管理,ユーザーのセッションを管理する処理,なし,ログイン後、セッションを開始し、ログアウト時にセッションを終了する。,システム,ログインユーザー,N/A,null,null,null
SCR-039,UI,メイン画面,Todoを表示し、管理する画面,"カンバン（To Do, In Progress, Done）、Todoカード、追加ボタン",Todoカードをドラッグ＆ドロップしてステータスを変更する。追加ボタンをクリックして新しいTodoを追加する。,ログインユーザー,ログインユーザー,/app/page.tsx,"[{ ""table"": ""todos"", ""items"": [""id"", ""user_id"", ""title"", ""status"", ""checkboxes""] }, { ""table"": ""kanban_config"", ""items"": [""config""] }]","[{ ""table"": ""todos"", ""items"": [""user_id"", ""title"", ""status"", ""checkboxes""] }]","[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-040,UI,言語設定,アプリの言語を設定する画面,言語選択ドロップダウン,ドロップダウンから言語を選択し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,/settings/language/page.tsx,null,"[{ ""table"": ""users"", ""items"": [""language""] }]","[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-041,UI,ショートカット設定,キーボードショートカットを設定する画面,ショートカット一覧、キー設定フォーム,各ショートカットにキーを設定し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,/settings/shortcuts/page.tsx,null,"[{ ""table"": ""kanban_config"", ""items"": [""shortcuts""] }]","[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-042,UI,ローディング表示,データロード中に表示するローディングアニメーション,ローディングアニメーション,自動表示,システム,ログインユーザー、ゲスト,Loading.tsx,null,null,null
SCR-043,UI,エラー表示,エラーが発生した場合に表示する画面,エラーメッセージ,自動表示,システム,ログインユーザー、ゲスト,Error.tsx,null,null,null
SCR-044,UI,プッシュ通知,プッシュ通知を表示する,通知メッセージ,自動表示,システム,ログインユーザー,PushNotification.tsx,null,null,null
SCR-045,UI,Todo追加・編集画面,Todoを追加、または編集する画面,Todoタイトル入力フォーム、ステータス選択ドロップダウン、チェックボックス,各フォームに入力し、保存ボタンをクリックする。,ログインユーザー,ログインユーザー,/app/[todoId]/edit/page.tsx,"[{ ""table"": ""todos"", ""items"": [""id"", ""title"", ""status"", ""checkboxes""] }]","[{ ""table"": ""todos"", ""items"": [""title"", ""status"", ""checkboxes""] }]","[""Layout.tsx"", ""Header.tsx"", ""Footer.tsx""]"
SCR-046,管理,管理者メニュー,管理者用機能へのアクセスを提供するメニュー画面,APIドキュメント表示ボタン、ログ表示ボタン、システム監視ボタン、バックアップ管理ボタン、IPアクセス制御ボタン,各機能のボタンをクリックして、対応する画面へ遷移する。,管理者,ログインユーザー,/admin/page.tsx,なし,なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-047,管理,APIドキュメント表示,APIドキュメントを表示する画面,APIドキュメント,APIドキュメントを閲覧する。,管理者,ログインユーザー,/admin/api-doc/page.tsx,なし,なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-048,管理,ログ表示,システムログを表示する画面,ログ一覧、ログ詳細表示ボタン,ログ一覧から詳細を確認するログを選択する。,管理者,ログインユーザー,/admin/log/page.tsx,"[{ ""table"": ""logs"", ""items"": [""id"", ""timestamp"", ""message""] }]",なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-049,管理,ログ詳細,選択されたログの詳細を表示する画面,ログ詳細情報,ログの詳細情報を確認する。,管理者,ログインユーザー,/admin/log/[logId]/page.tsx,"[{ ""table"": ""logs"", ""items"": [""id"", ""timestamp"", ""message"", ""stacktrace""] }]",なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-050,管理,システム監視,システムの状態を監視する画面,CPU使用率、メモリ使用率、ディスク使用量、システム状態詳細ボタン,システムの状態を監視し、必要に応じて詳細情報を確認する。,管理者,ログインユーザー,/admin/monitor/page.tsx,システム情報,なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-051,管理,システム状態詳細,システム状態の詳細を表示する画面,詳細なシステム情報,システム状態の詳細情報を確認する。,管理者,ログインユーザー,/admin/monitor/detail/page.tsx,詳細システム情報,なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-052,管理,バックアップ管理,バックアップの実行、リストアを行う画面,バックアップ実行ボタン、リストア実行ボタン,バックアップを実行するか、リストアを実行するかを選択する。,管理者,ログインユーザー,/admin/backup/page.tsx,なし,なし,レイアウトコンポーネント（ヘッダー、フッター）
SCR-053,管理,リストア実行,バックアップからリストアを実行する画面,リストア設定、実行ボタン,リストア設定を行い、リストアを実行する。,管理者,ログインユーザー,/admin/backup/restore/page.tsx,バックアップファイル一覧,リストア設定,レイアウトコンポーネント（ヘッダー、フッター）
SCR-054,管理,IPアクセス制御,IPアドレスによるアクセス制御を行う画面,IPアドレスリスト、追加/削除ボタン,IPアドレスを追加または削除する。,管理者,ログインユーザー,/admin/ip-control/page.tsx,"[{ ""table"": ""ip_access_control"", ""items"": [""ip_address"", ""description""] }]","[{ ""table"": ""ip_access_control"", ""items"": [""ip_address"", ""description""] }]",レイアウトコンポーネント（ヘッダー、フッター）
